日付,目的,行先,交通手段,経路,金額,備考
2026-06-14,銀行との融資相談（2棟目検討）,千葉銀行 葛西支店,電車,自宅→葛西駅,820,両国物件に向けた融資条件の事前確認
2026-06-21,新規物件視察,江戸川区一之江,電車,自宅→一之江駅→物件,540,築28年木造アパート・2200万。築古すぎて見送り
2026-06-21,物件視察の帰り（雨天）,一之江→自宅,タクシー,物件→自宅,2400,雨天のためタクシー利用。領収書あり
2026-06-28,管理会社との打合せ,ABC不動産（葛西）,電車,自宅→葛西駅,820,エアコン不具合の対応方針について
2026-07-04,物件確認,葛西マンション603,電車,自宅→葛西駅→物件,820,エアコン正常稼働確認
2026-07-04,物件確認の帰り（猛暑日）,葛西→自宅,タクシー,物件→自宅,2400,気温37度超の猛暑日。タクシー利用
2026-07-12,管理会社との打合せ,ABC不動産（葛西）,電車,自宅→葛西駅,820,入居者の設備修繕対応の進捗確認
2026-07-18,管理会社との打合せ,ABC不動産（葛西）,電車,自宅→葛西駅,820,退去時の原状回復費用の相場確認
2026-07-26,税理士との面談,山田税理士事務所（新小岩）,電車,自宅→新小岩駅,480,上半期の収支確認・下半期の経費計画
2026-07-26,税理士面談の帰り（猛暑）,新小岩→自宅,タクシー,税理士事務所→自宅,2800,猛暑日のためタクシー利用。領収書あり
2026-08-02,物件確認,葛西マンション603,電車,自宅→葛西駅→物件,820,猛暑日の室内温度チェック・換気扇確認
2026-08-02,物件確認の帰り（猛暑日）,葛西→自宅,タクシー,物件→自宅,2400,気温38度超の猛暑日。タクシー利用
2026-08-16,不動産投資セミナー,新宿NSビル,電車,自宅→新宿駅,1240,「サラリーマン大家の融資戦略」セミナー
2026-08-16,セミナー後の帰り（猛暑）,新宿→自宅,タクシー,新宿→自宅,2600,猛暑日の夕方。体調を考慮しタクシー利用
2026-08-23,法務局（登記簿確認）,東京法務局墨田出張所,電車,自宅→錦糸町駅→法務局,740,両国物件の登記簿謄本確認。購入検討用
2026-08-30,新規物件視察,墨田区両国,電車,自宅→両国駅→物件,740,築15年RC・1LDK・2600万。駅近で立地◎。融資条件次第
2026-08-30,物件視察の帰り（雨天）,両国→自宅,タクシー,物件→自宅,2800,雨天のためタクシー利用。領収書あり
2026-09-05,物件確認,葛西マンション603,電車,自宅→葛西駅→物件,820,台風後の外壁・ベランダ確認
2026-09-05,物件確認の帰り（台風後）,葛西→自宅,タクシー,物件→自宅,2600,台風直後で交通機関が乱れておりタクシー利用
2026-09-13,管理会社との打合せ,ABC不動産（葛西）,電車,自宅→葛西駅,820,台風後の物件状態の報告・修繕方針の確認
2026-09-19,銀行との融資相談,千葉銀行 葛西支店,電車,自宅→葛西駅,820,両国物件の融資可否を打診
2026-09-19,銀行融資相談の帰り（雨天）,葛西→自宅,タクシー,銀行→自宅,2600,雨天のためタクシー利用。領収書あり
2026-09-27,不動産投資勉強会,品川区の貸会議室,電車,自宅→品川駅,960,不動産投資家15名の勉強会。融資戦略がテーマ
2026-10-03,物件確認,葛西マンション603,電車,自宅→葛西駅→物件,820,排水管の定期清掃立ち会い
2026-10-11,銀行との融資相談（2回目）,千葉銀行 葛西支店,電車,自宅→葛西駅,820,両国物件の融資条件の詳細確認
2026-10-17,税理士との面談,山田税理士事務所（新小岩）,電車,自宅→新小岩駅,480,年末に向けた節税対策の確認
2026-10-24,新規物件視察,千葉県浦安市,電車,自宅→浦安駅→物件,680,築20年RC・2DK・2400万。管理費が高く見送り
2026-10-24,物件視察の帰り（タクシー）,浦安→自宅,タクシー,物件→自宅,3200,遠方のためタクシー利用。領収書あり
2026-11-07,物件確認,葛西マンション603,電車,自宅→葛西駅→物件,820,暖房設備の動作確認
2026-11-15,不動産投資セミナー,渋谷区のセミナー会場,電車,自宅→渋谷駅,1240,「2027年の不動産市況展望」セミナー
2026-11-21,不動産投資家交流会,秋葉原の貸会議室,電車,自宅→秋葉原駅,540,投資家15名程度の忘年会兼情報交換
2026-11-21,交流会後の帰り（忘年会で遅くなった）,秋葉原→自宅,タクシー,秋葉原→自宅,3000,忘年会が22時過ぎまで。タクシーで帰宅
2026-11-28,税理士との面談,山田税理士事務所（新小岩）,電車,自宅→新小岩駅,480,確定申告の準備方針・必要書類の確認
2026-12-05,物件確認,葛西マンション603,電車,自宅→葛西駅→物件,820,年末の物件状態最終確認
2026-12-05,物件確認の帰り（荷物多い）,葛西→自宅,タクシー,物件→自宅,2600,年末確認の資料・管理組合書類の持ち帰り
2026-12-13,管理会社との年末打合せ,ABC不動産（葛西）,電車,自宅→葛西駅,820,年末の入居状況確認・来年の管理方針の事前協議
2026-12-19,税理士との面談,山田税理士事務所（新小岩）,電車,自宅→新小岩駅,480,確定申告の準備・書類確認
2026-12-19,税理士面談の帰り（資料持ち帰り）,新小岩→自宅,タクシー,税理士事務所→自宅,2600,確定申告用の書類・資料を大量に持ち帰り
2026-12-26,管理会社との打合せ,ABC不動産（葛西）,電車,自宅→葛西駅,820,年末の入居状況確認・来年の管理方針
2026-12-26,年末挨拶の帰り（タクシー）,葛西→自宅,タクシー,管理会社→自宅,3200,年末挨拶の手土産等の荷物がありタクシー利用
